,id,t,treated,fte,bk,kfc,roys,wendys
292,170,0,NJ,20.0,1,0,0,0
293,170,1,NJ,30.0,1,0,0,0
294,171,0,NJ,18.0,1,0,0,0
295,171,1,NJ,16.25,1,0,0,0
296,172,0,NJ,12.0,1,0,0,0
297,172,1,NJ,18.5,1,0,0,0
298,173,0,NJ,26.0,1,0,0,0
299,173,1,NJ,26.0,1,0,0,0
300,174,0,NJ,21.0,1,0,0,0
301,174,1,NJ,30.0,1,0,0,0
302,176,0,NJ,25.5,1,0,0,0
303,176,1,NJ,33.75,1,0,0,0
304,178,0,NJ,19.0,0,1,0,0
305,178,1,NJ,6.0,0,1,0,0
306,179,0,NJ,8.0,0,1,0,0
307,179,1,NJ,7.0,0,1,0,0
308,180,0,NJ,9.5,0,1,0,0
309,180,1,NJ,8.75,0,1,0,0
310,181,0,NJ,6.5,0,1,0,0
311,181,1,NJ,8.5,0,1,0,0
312,182,0,NJ,10.5,0,1,0,0
313,182,1,NJ,7.5,0,1,0,0
314,183,0,NJ,14.0,0,1,0,0
315,183,1,NJ,20.0,0,1,0,0
316,185,0,NJ,6.5,0,1,0,0
317,185,1,NJ,5.0,0,1,0,0
318,186,0,NJ,20.0,0,0,1,0
319,186,1,NJ,21.0,0,0,1,0
320,187,0,NJ,14.0,0,0,1,0
321,187,1,NJ,13.75,0,0,1,0
322,189,0,NJ,11.5,0,0,1,0
323,189,1,NJ,9.5,0,0,1,0
324,190,0,NJ,26.0,0,0,1,0
325,190,1,NJ,22.0,0,0,1,0
326,191,0,NJ,40.0,0,0,0,1
327,191,1,NJ,12.5,0,0,0,1
328,192,0,NJ,25.0,0,0,0,1
329,192,1,NJ,19.5,0,0,0,1
330,193,0,NJ,7.5,0,0,0,1
331,193,1,NJ,8.5,0,0,0,1
332,195,0,NJ,15.0,0,0,0,1
333,195,1,NJ,20.5,0,0,0,1
334,196,0,NJ,17.5,0,0,0,1
335,196,1,NJ,15.0,0,0,0,1
336,197,0,NJ,28.0,1,0,0,0
337,197,1,NJ,15.5,1,0,0,0
338,198,0,NJ,,1,0,0,0
339,198,1,NJ,26.0,1,0,0,0
340,199,0,NJ,6.0,0,1,0,0
341,199,1,NJ,12.5,0,1,0,0
342,200,0,NJ,30.0,1,0,0,0
343,200,1,NJ,25.0,1,0,0,0
344,201,0,NJ,16.5,1,0,0,0
345,201,1,NJ,27.0,1,0,0,0
346,202,0,NJ,37.0,1,0,0,0
347,202,1,NJ,18.5,1,0,0,0
348,203,0,NJ,15.0,1,0,0,0
349,203,1,NJ,21.0,1,0,0,0
350,204,0,NJ,14.25,1,0,0,0
351,204,1,NJ,18.75,1,0,0,0
352,207,0,NJ,13.0,0,1,0,0
353,207,1,NJ,11.5,0,1,0,0
354,208,0,NJ,28.0,0,0,1,0
355,208,1,NJ,21.0,0,0,1,0
356,209,0,NJ,22.0,0,0,1,0
357,209,1,NJ,24.5,0,0,1,0
358,210,0,NJ,9.5,0,0,0,1
359,210,1,NJ,7.0,0,0,0,1
360,211,0,NJ,17.0,1,0,0,0
361,211,1,NJ,19.5,1,0,0,0
362,212,0,NJ,19.75,1,0,0,0
363,212,1,NJ,27.5,1,0,0,0
364,213,0,NJ,14.5,1,0,0,0
365,213,1,NJ,20.75,1,0,0,0
366,214,0,NJ,17.0,1,0,0,0
367,214,1,NJ,17.5,1,0,0,0
368,215,0,NJ,15.0,1,0,0,0
369,215,1,NJ,25.0,1,0,0,0
370,216,0,NJ,7.5,0,1,0,0
371,216,1,NJ,11.0,0,1,0,0
372,217,0,NJ,8.5,0,1,0,0
373,217,1,NJ,6.0,0,1,0,0
374,218,0,NJ,9.0,0,1,0,0
375,218,1,NJ,6.5,0,1,0,0
376,219,0,NJ,7.5,0,1,0,0
377,219,1,NJ,13.5,0,1,0,0
378,220,0,NJ,10.5,0,1,0,0
379,220,1,NJ,9.0,0,1,0,0
380,221,0,NJ,15.0,0,1,0,0
381,221,1,NJ,8.5,0,1,0,0
382,222,0,NJ,14.0,0,0,1,0
383,222,1,NJ,9.5,0,0,1,0
384,223,0,NJ,12.0,0,0,1,0
385,223,1,NJ,13.0,0,0,1,0
386,225,0,NJ,16.5,0,0,1,0
387,225,1,NJ,24.5,0,0,1,0
388,226,0,NJ,11.0,0,0,0,1
389,226,1,NJ,13.0,0,0,0,1
390,228,0,NJ,17.25,0,0,0,1
391,228,1,NJ,20.5,0,0,0,1
392,229,0,NJ,23.0,1,0,0,0
393,229,1,NJ,27.5,1,0,0,0
394,230,0,NJ,12.5,1,0,0,0
395,230,1,NJ,23.5,1,0,0,0
396,231,0,NJ,,1,0,0,0
397,231,1,NJ,19.0,1,0,0,0
398,232,0,NJ,21.0,1,0,0,0
399,232,1,NJ,23.0,1,0,0,0
400,233,0,NJ,22.5,1,0,0,0
401,233,1,NJ,18.5,1,0,0,0
402,234,0,NJ,5.0,1,0,0,0
403,234,1,NJ,12.0,1,0,0,0
404,235,0,NJ,13.5,1,0,0,0
405,235,1,NJ,,1,0,0,0
406,236,0,NJ,17.0,1,0,0,0
407,236,1,NJ,34.0,1,0,0,0
408,237,0,NJ,17.5,1,0,0,0
409,237,1,NJ,17.5,1,0,0,0
410,238,0,NJ,11.0,0,1,0,0
411,238,1,NJ,32.5,0,1,0,0
412,239,0,NJ,17.0,0,1,0,0
413,239,1,NJ,9.5,0,1,0,0
414,240,0,NJ,32.5,0,0,1,0
415,240,1,NJ,22.5,0,0,1,0
416,241,0,NJ,27.5,0,0,1,0
417,241,1,NJ,,0,0,1,0
418,242,0,NJ,30.0,0,0,1,0
419,242,1,NJ,17.0,0,0,1,0
420,243,0,NJ,19.5,0,0,1,0
421,243,1,NJ,18.0,0,0,1,0
422,244,0,NJ,27.0,0,0,1,0
423,244,1,NJ,22.0,0,0,1,0
424,245,0,NJ,19.0,0,0,1,0
425,245,1,NJ,14.0,0,0,1,0
426,247,0,NJ,20.0,0,0,0,1
427,247,1,NJ,20.0,0,0,0,1
428,248,0,NJ,16.0,0,0,0,1
429,248,1,NJ,17.0,0,0,0,1
430,249,0,NJ,9.0,1,0,0,0
431,249,1,NJ,16.0,1,0,0,0
432,250,0,NJ,3.0,0,1,0,0
433,250,1,NJ,4.0,0,1,0,0
434,253,0,NJ,10.5,0,0,1,0
435,253,1,NJ,8.0,0,0,1,0
436,254,0,NJ,25.0,0,0,0,1
437,254,1,NJ,33.0,0,0,0,1
438,255,0,NJ,7.0,0,0,0,1
439,255,1,NJ,14.0,0,0,0,1
440,257,0,NJ,25.0,1,0,0,0
441,257,1,NJ,,1,0,0,0
442,258,0,NJ,15.0,1,0,0,0
443,258,1,NJ,29.0,1,0,0,0
444,259,0,NJ,19.0,1,0,0,0
445,259,1,NJ,22.5,1,0,0,0
446,260,0,NJ,20.0,1,0,0,0
447,260,1,NJ,17.0,1,0,0,0
448,262,0,NJ,13.5,1,0,0,0
449,262,1,NJ,11.25,1,0,0,0
450,264,0,NJ,5.0,1,0,0,0
451,264,1,NJ,11.5,1,0,0,0
452,265,0,NJ,10.0,1,0,0,0
453,265,1,NJ,0.0,1,0,0,0
454,267,0,NJ,16.5,1,0,0,0
455,267,1,NJ,42.5,1,0,0,0
456,268,0,NJ,19.0,1,0,0,0
457,268,1,NJ,21.25,1,0,0,0
458,269,0,NJ,7.0,0,1,0,0
459,269,1,NJ,11.5,0,1,0,0
460,271,0,NJ,6.5,0,1,0,0
461,271,1,NJ,7.5,0,1,0,0
462,272,0,NJ,9.5,0,1,0,0
463,272,1,NJ,9.0,0,1,0,0
464,273,0,NJ,9.0,0,1,0,0
465,273,1,NJ,7.5,0,1,0,0
466,274,0,NJ,7.5,0,1,0,0
467,274,1,NJ,6.5,0,1,0,0
468,275,0,NJ,6.0,0,1,0,0
469,275,1,NJ,5.0,0,1,0,0
470,276,0,NJ,10.0,0,1,0,0
471,276,1,NJ,12.5,0,1,0,0
472,277,0,NJ,9.5,0,1,0,0
473,277,1,NJ,8.0,0,1,0,0
474,278,0,NJ,5.0,0,1,0,0
475,278,1,NJ,4.5,0,1,0,0
476,282,0,NJ,9.0,0,0,1,0
477,282,1,NJ,0.0,0,0,1,0
478,284,0,NJ,16.5,0,0,1,0
479,284,1,NJ,12.0,0,0,1,0
480,285,0,NJ,15.5,0,0,1,0
481,285,1,NJ,10.5,0,0,1,0
482,286,0,NJ,8.5,0,0,1,0
483,286,1,NJ,9.5,0,0,1,0
484,287,0,NJ,12.0,0,0,1,0
485,287,1,NJ,9.5,0,0,1,0
486,288,0,NJ,10.0,0,0,1,0
487,288,1,NJ,9.5,0,0,1,0
488,289,0,NJ,8.0,0,0,1,0
489,289,1,NJ,8.0,0,0,1,0
490,290,0,NJ,14.0,0,0,0,1
491,290,1,NJ,11.5,0,0,0,1
492,291,0,NJ,14.0,0,0,0,1
493,291,1,NJ,13.0,0,0,0,1
494,292,0,NJ,17.5,0,0,0,1
495,292,1,NJ,20.5,0,0,0,1
496,294,0,NJ,17.5,1,0,0,0
497,294,1,NJ,17.5,1,0,0,0
498,295,0,NJ,12.5,1,0,0,0
499,295,1,NJ,,1,0,0,0
500,296,0,NJ,13.0,1,0,0,0
501,296,1,NJ,8.5,1,0,0,0
502,297,0,NJ,16.5,1,0,0,0
503,297,1,NJ,30.0,1,0,0,0
504,299,0,NJ,7.0,0,1,0,0
505,299,1,NJ,12.0,0,1,0,0
506,301,0,NJ,14.0,0,1,0,0
507,301,1,NJ,5.5,0,1,0,0
508,303,0,NJ,27.5,0,0,1,0
509,303,1,NJ,29.5,0,0,1,0
510,304,0,NJ,20.0,0,0,1,0
511,304,1,NJ,17.5,0,0,1,0
512,305,0,NJ,10.0,0,0,1,0
513,305,1,NJ,16.0,0,0,1,0
514,306,0,NJ,22.5,0,0,1,0
515,306,1,NJ,16.0,0,0,1,0
516,307,0,NJ,26.25,0,0,1,0
517,307,1,NJ,37.5,0,0,1,0
518,310,0,NJ,14.0,0,0,0,1
519,310,1,NJ,14.5,0,0,0,1
520,311,0,NJ,15.0,0,0,0,1
521,311,1,NJ,50.0,0,0,0,1
522,312,0,NJ,7.0,1,0,0,0
523,312,1,NJ,4.0,1,0,0,0
524,313,0,NJ,15.5,1,0,0,0
525,313,1,NJ,15.0,1,0,0,0
526,314,0,NJ,14.0,1,0,0,0
527,314,1,NJ,18.0,1,0,0,0
528,315,0,NJ,14.5,1,0,0,0
529,315,1,NJ,14.5,1,0,0,0
530,316,0,NJ,22.5,1,0,0,0
531,316,1,NJ,19.0,1,0,0,0
532,317,0,NJ,4.0,1,0,0,0
533,317,1,NJ,4.0,1,0,0,0
534,318,0,NJ,8.5,0,1,0,0
535,318,1,NJ,10.0,0,1,0,0
536,319,0,NJ,5.5,0,1,0,0
537,319,1,NJ,24.0,0,1,0,0
538,320,0,NJ,9.5,0,1,0,0
539,320,1,NJ,7.0,0,1,0,0
540,321,0,NJ,10.0,0,1,0,0
541,321,1,NJ,9.5,0,1,0,0
542,322,0,NJ,14.5,0,0,1,0
543,322,1,NJ,14.5,0,0,1,0
544,324,0,NJ,43.0,0,0,1,0
545,324,1,NJ,41.5,0,0,1,0
546,325,0,NJ,11.5,0,0,1,0
547,325,1,NJ,8.5,0,0,1,0
548,326,0,NJ,40.5,0,0,1,0
549,326,1,NJ,22.5,0,0,1,0
550,330,0,NJ,12.0,0,0,0,1
551,330,1,NJ,13.0,0,0,0,1
552,333,0,NJ,10.25,1,0,0,0
553,333,1,NJ,13.0,1,0,0,0
554,334,0,NJ,15.0,1,0,0,0
555,334,1,NJ,10.0,1,0,0,0
556,335,0,NJ,14.0,1,0,0,0
557,335,1,NJ,13.5,1,0,0,0
558,336,0,NJ,34.0,1,0,0,0
559,336,1,NJ,20.0,1,0,0,0
560,337,0,NJ,19.75,1,0,0,0
561,337,1,NJ,27.5,1,0,0,0
562,339,0,NJ,21.0,1,0,0,0
563,339,1,NJ,9.5,1,0,0,0
564,340,0,NJ,21.0,1,0,0,0
565,340,1,NJ,23.5,1,0,0,0
566,341,0,NJ,5.5,0,1,0,0
567,341,1,NJ,6.5,0,1,0,0
568,343,0,NJ,13.0,0,1,0,0
569,343,1,NJ,9.5,0,1,0,0
570,346,0,NJ,7.25,0,1,0,0
571,346,1,NJ,9.0,0,1,0,0
572,348,0,NJ,8.25,0,0,1,0
573,348,1,NJ,0.0,0,0,1,0
574,349,0,NJ,16.0,0,0,1,0
575,349,1,NJ,10.0,0,0,1,0
576,350,0,NJ,12.5,0,0,1,0
577,350,1,NJ,15.0,0,0,1,0
578,351,0,NJ,15.75,0,0,1,0
579,351,1,NJ,20.0,0,0,1,0
580,352,0,NJ,9.5,0,0,1,0
581,352,1,NJ,,0,0,1,0
582,353,0,NJ,18.75,0,0,1,0
583,353,1,NJ,,0,0,1,0
584,354,0,NJ,17.5,0,0,0,1
585,354,1,NJ,12.5,0,0,0,1
586,355,0,NJ,10.5,0,0,0,1
587,355,1,NJ,11.5,0,0,0,1
588,356,0,NJ,16.5,0,0,0,1
589,356,1,NJ,14.0,0,0,0,1
590,357,0,NJ,14.5,0,0,0,1
591,357,1,NJ,24.0,0,0,0,1
592,359,0,NJ,11.0,1,0,0,0
593,359,1,NJ,13.0,1,0,0,0
594,360,0,NJ,15.5,1,0,0,0
595,360,1,NJ,21.0,1,0,0,0
596,361,0,NJ,12.5,1,0,0,0
597,361,1,NJ,15.5,1,0,0,0
598,362,0,NJ,12.5,0,1,0,0
599,362,1,NJ,26.0,0,1,0,0
600,363,0,NJ,12.5,0,1,0,0
601,363,1,NJ,17.5,0,1,0,0
602,364,0,NJ,13.5,0,1,0,0
603,364,1,NJ,16.0,0,1,0,0
604,366,0,NJ,10.5,0,0,1,0
605,366,1,NJ,10.5,0,0,1,0
606,368,0,NJ,10.0,0,0,0,1
607,368,1,NJ,12.5,0,0,0,1
608,369,0,NJ,7.5,1,0,0,0
609,369,1,NJ,0.0,1,0,0,0
610,370,0,NJ,25.75,1,0,0,0
611,370,1,NJ,28.5,1,0,0,0
612,371,0,NJ,23.5,1,0,0,0
613,371,1,NJ,22.0,1,0,0,0
614,372,0,NJ,22.5,1,0,0,0
615,372,1,NJ,40.0,1,0,0,0
616,373,0,NJ,20.0,1,0,0,0
617,373,1,NJ,25.5,1,0,0,0
618,375,0,NJ,30.0,1,0,0,0
619,375,1,NJ,12.5,1,0,0,0
620,376,0,NJ,9.0,1,0,0,0
621,376,1,NJ,8.5,1,0,0,0
622,377,0,NJ,15.0,1,0,0,0
623,377,1,NJ,17.0,1,0,0,0
624,378,0,NJ,14.0,1,0,0,0
625,378,1,NJ,27.5,1,0,0,0
626,379,0,NJ,26.0,1,0,0,0
627,379,1,NJ,31.0,1,0,0,0
628,380,0,NJ,17.5,1,0,0,0
629,380,1,NJ,22.0,1,0,0,0
630,381,0,NJ,20.0,1,0,0,0
631,381,1,NJ,22.5,1,0,0,0
632,383,0,NJ,8.0,1,0,0,0
633,383,1,NJ,8.0,1,0,0,0
634,384,0,NJ,,1,0,0,0
635,384,1,NJ,15.0,1,0,0,0
636,385,0,NJ,23.0,1,0,0,0
637,385,1,NJ,22.0,1,0,0,0
