V0,V1,label
1.701,1.822,1.0
2.059,1.44,1.0
1.913,1.99,1.0
1.497,2.373,1.0
2.04,2.535,1.0
1.773,2.043,1.0
1.99,2.449,1.0
2.515,2.094,1.0
1.807,2.078,1.0
2.34,2.225,1.0
1.744,2.192,1.0
2.172,2.075,1.0
2.07,2.362,1.0
1.66,1.642,1.0
2.253,2.163,1.0
1.86,1.775,1.0
1.647,2.421,1.0
2.204,1.886,1.0
2.583,2.082,1.0
1.857,2.193,1.0
1.833,1.787,1.0
2.236,1.921,1.0
2.205,2.0,1.0
1.59,2.137,1.0
2.43,1.726,1.0
2.031,1.711,1.0
2.201,2.07,1.0
2.174,1.685,1.0
1.709,2.313,1.0
2.02,1.58,1.0
2.561,2.405,1.0
2.309,2.119,1.0
2.074,1.607,1.0
1.982,1.834,1.0
2.432,1.736,1.0
2.392,2.051,1.0
2.364,1.686,1.0
1.438,1.872,1.0
1.84,2.099,1.0
2.095,1.589,1.0
2.283,2.116,1.0
1.873,2.009,1.0
1.753,2.32,1.0
2.421,2.015,1.0
2.237,1.983,1.0
1.854,1.842,1.0
1.611,1.766,1.0
2.51,2.455,1.0
2.05,1.893,1.0
2.076,2.01,1.0
1.395,1.398,1.0
2.356,1.964,1.0
1.551,2.154,1.0
1.415,1.407,1.0
2.439,1.955,1.0
1.338,1.932,1.0
1.746,1.617,1.0
1.742,2.037,1.0
1.433,1.895,1.0
2.105,1.698,1.0
2.061,1.992,1.0
2.124,2.214,1.0
1.63,2.248,1.0
1.923,1.574,1.0
1.553,1.734,1.0
2.128,1.681,1.0
1.968,1.437,1.0
2.209,1.71,1.0
1.681,1.735,1.0
2.188,2.141,1.0
1.612,2.133,1.0
1.983,1.787,1.0
1.854,2.03,1.0
1.828,1.869,1.0
1.835,2.005,1.0
2.372,1.993,1.0
1.946,1.962,1.0
2.297,1.833,1.0
1.585,1.621,1.0
2.162,2.368,1.0
1.486,1.9,1.0
2.225,2.341,1.0
1.066,1.899,1.0
2.195,1.436,1.0
3.184,1.711,1.0
2.362,2.084,1.0
2.21,2.726,1.0
1.925,2.075,1.0
2.177,2.172,1.0
2.198,2.342,1.0
1.974,1.904,1.0
1.442,2.49,1.0
2.178,1.609,1.0
2.558,2.466,1.0
1.477,2.27,1.0
1.826,1.707,1.0
1.458,2.244,1.0
1.519,2.332,1.0
1.969,2.508,1.0
1.679,2.015,1.0
2.152,2.424,1.0
2.187,2.005,1.0
1.763,1.693,1.0
1.767,2.027,1.0
2.166,2.38,1.0
1.579,1.715,1.0
2.013,1.934,1.0
1.738,2.491,1.0
1.985,1.893,1.0
2.004,2.602,1.0
2.32,1.926,1.0
1.911,2.395,1.0
1.796,1.471,1.0
1.841,2.103,1.0
2.262,1.864,1.0
2.481,1.695,1.0
1.781,2.096,1.0
1.716,1.632,1.0
1.897,1.579,1.0
1.854,2.012,1.0
1.742,1.86,1.0
2.255,1.987,1.0
1.844,2.339,1.0
1.851,2.194,1.0
2.02,1.651,1.0
2.221,1.757,1.0
1.94,2.59,1.0
2.575,2.43,1.0
1.773,1.776,1.0
1.801,1.914,1.0
1.91,2.171,1.0
2.17,2.077,1.0
2.193,2.285,1.0
2.195,1.877,1.0
2.469,2.102,1.0
1.834,2.072,1.0
1.607,1.936,1.0
1.874,2.403,1.0
1.689,2.111,1.0
2.258,2.298,1.0
2.349,2.135,1.0
2.033,1.971,1.0
1.778,1.423,1.0
2.36,2.341,1.0
1.759,2.424,1.0
1.865,1.993,1.0
2.048,2.18,1.0
1.747,2.024,1.0
2.1,1.835,1.0
1.881,1.577,1.0
2.143,1.913,1.0
1.92,1.872,1.0
2.248,1.638,1.0
2.111,1.137,1.0
2.125,2.357,1.0
2.141,2.055,1.0
2.121,1.981,1.0
1.9,1.513,1.0
1.776,1.938,1.0
2.223,2.013,1.0
2.316,1.367,1.0
1.531,1.775,1.0
1.547,1.95,1.0
2.512,2.067,1.0
2.016,2.099,1.0
1.966,2.209,1.0
2.223,2.163,1.0
2.213,2.511,1.0
1.873,2.111,1.0
1.91,2.4,1.0
1.55,1.788,1.0
1.532,2.163,1.0
2.328,1.882,1.0
1.863,1.877,1.0
1.892,1.848,1.0
2.428,2.494,1.0
2.327,1.962,1.0
1.92,2.157,1.0
2.073,1.912,1.0
2.247,1.5,1.0
2.281,1.876,1.0
1.896,1.604,1.0
1.687,1.846,1.0
1.799,1.296,1.0
2.414,2.036,1.0
2.129,2.173,1.0
2.302,2.217,1.0
2.348,1.51,1.0
2.079,2.173,1.0
2.084,1.84,1.0
1.568,1.902,1.0
2.282,2.012,1.0
1.311,2.1,1.0
1.696,1.98,1.0
2.361,1.897,1.0
2.294,1.96,1.0
2.199,1.76,1.0
1.471,1.402,1.0
1.463,2.376,1.0
2.318,1.854,1.0
1.834,1.887,1.0
1.558,1.697,1.0
2.208,1.421,1.0
2.273,2.087,1.0
1.617,1.599,1.0
2.484,1.458,1.0
2.267,1.913,1.0
2.053,2.346,1.0
1.948,2.286,1.0
1.78,1.775,1.0
1.592,1.512,1.0
1.68,2.471,1.0
1.582,1.614,1.0
1.921,2.598,1.0
1.963,2.264,1.0
1.904,2.113,1.0
2.131,1.899,1.0
1.895,3.154,1.0
1.829,2.043,1.0
1.714,1.991,1.0
2.351,1.681,1.0
1.895,1.438,1.0
1.968,2.165,1.0
2.174,2.428,1.0
1.98,1.776,1.0
2.095,1.713,1.0
2.541,2.696,1.0
1.815,1.883,1.0
2.708,2.585,1.0
1.571,2.004,1.0
1.53,1.821,1.0
2.017,2.229,1.0
2.076,2.361,1.0
2.522,2.207,1.0
2.002,2.632,1.0
1.91,1.986,1.0
1.856,1.485,1.0
2.082,1.764,1.0
2.264,1.597,1.0
2.005,2.417,1.0
2.031,1.7,1.0
1.935,2.088,1.0
1.819,1.479,1.0
1.6,1.863,1.0
2.096,1.4,1.0
1.857,1.792,1.0
2.486,1.917,1.0
2.148,2.295,1.0
2.175,1.204,1.0
2.012,2.26,1.0
1.672,1.698,1.0
2.016,2.699,1.0
1.736,1.368,1.0
1.938,1.804,1.0
1.858,1.038,1.0
1.825,1.886,1.0
1.746,1.447,1.0
2.015,2.449,1.0
2.587,2.014,1.0
2.417,2.098,1.0
2.498,2.505,1.0
2.576,2.088,1.0
1.982,2.359,1.0
1.782,2.128,1.0
1.956,2.138,1.0
1.972,1.806,1.0
2.325,1.728,1.0
1.809,1.923,1.0
1.832,2.075,1.0
2.17,1.708,1.0
1.833,1.781,1.0
2.163,1.617,1.0
1.713,2.482,1.0
2.019,2.254,1.0
1.975,1.997,1.0
1.95,2.108,1.0
2.149,2.005,1.0
1.528,2.375,1.0
2.599,2.005,1.0
1.869,2.611,1.0
2.545,1.851,1.0
1.92,1.624,1.0
1.453,1.678,1.0
1.384,2.342,1.0
1.468,1.814,1.0
1.724,2.077,1.0
2.152,1.55,1.0
1.974,1.786,1.0
1.625,1.901,1.0
1.932,2.051,1.0
1.895,2.654,1.0
1.737,1.882,1.0
2.057,1.96,1.0
1.591,1.967,1.0
2.16,2.59,1.0
1.641,2.038,1.0
2.017,1.869,1.0
2.212,1.929,1.0
2.165,2.477,1.0
2.561,2.175,1.0
1.933,1.889,1.0
2.465,2.334,1.0
1.65,1.58,1.0
1.638,2.232,1.0
1.969,1.859,1.0
1.837,2.523,1.0
2.555,2.383,1.0
2.031,2.119,1.0
1.466,1.917,1.0
1.554,1.764,1.0
2.343,1.589,1.0
2.313,2.155,1.0
1.881,1.551,1.0
2.597,2.371,1.0
-1.976,-1.343,1.0
-2.04,-1.952,1.0
-1.867,-1.813,1.0
-1.697,-1.882,1.0
-2.101,-2.194,1.0
-1.758,-1.875,1.0
-1.828,-2.331,1.0
-2.298,-1.596,1.0
-1.825,-1.839,1.0
-1.38,-2.087,1.0
-1.82,-2.169,1.0
-2.35,-2.307,1.0
-1.735,-2.16,1.0
-2.405,-1.931,1.0
-1.732,-1.589,1.0
-1.261,-1.662,1.0
-2.246,-1.98,1.0
-1.677,-2.166,1.0
-1.797,-1.688,1.0
-2.525,-1.964,1.0
-1.658,-1.797,1.0
-1.908,-2.005,1.0
-1.38,-2.014,1.0
-2.481,-2.14,1.0
-1.955,-1.894,1.0
-2.075,-1.974,1.0
-2.051,-1.745,1.0
-2.336,-2.022,1.0
-2.424,-2.336,1.0
-1.888,-2.133,1.0
-1.709,-1.983,1.0
-1.84,-1.635,1.0
-2.167,-2.687,1.0
-2.452,-2.373,1.0
-2.138,-2.37,1.0
-1.855,-1.824,1.0
-2.162,-1.84,1.0
-1.858,-1.381,1.0
-1.349,-2.106,1.0
-1.091,-2.271,1.0
-2.026,-1.753,1.0
-1.626,-1.505,1.0
-1.745,-2.24,1.0
-2.544,-1.893,1.0
-1.214,-2.138,1.0
-1.905,-2.263,1.0
-1.694,-2.658,1.0
-1.501,-2.056,1.0
-1.642,-1.291,1.0
-2.469,-2.168,1.0
-2.361,-1.776,1.0
-1.652,-1.787,1.0
-1.639,-1.969,1.0
-2.266,-2.131,1.0
-1.892,-1.92,1.0
-2.001,-1.598,1.0
-2.557,-2.219,1.0
-1.852,-1.99,1.0
-1.683,-2.162,1.0
-1.897,-2.207,1.0
-2.195,-1.562,1.0
-1.715,-2.409,1.0
-1.939,-1.907,1.0
-1.768,-1.865,1.0
-1.939,-2.627,1.0
-1.714,-2.092,1.0
-1.866,-1.946,1.0
-1.832,-1.467,1.0
-2.134,-1.965,1.0
-1.947,-1.574,1.0
-1.708,-2.463,1.0
-2.316,-2.045,1.0
-1.777,-2.063,1.0
-2.046,-2.606,1.0
-2.18,-2.263,1.0
-1.811,-2.024,1.0
-2.042,-2.062,1.0
-1.871,-1.981,1.0
-1.895,-2.195,1.0
-1.981,-1.512,1.0
-1.931,-1.962,1.0
-1.825,-2.381,1.0
-2.22,-1.501,1.0
-2.007,-2.189,1.0
-2.017,-2.047,1.0
-2.069,-1.963,1.0
-2.299,-2.178,1.0
-1.941,-2.56,1.0
-2.087,-2.01,1.0
-2.503,-1.627,1.0
-1.96,-1.465,1.0
-2.227,-1.957,1.0
-2.01,-1.551,1.0
-1.485,-1.906,1.0
-2.193,-1.922,1.0
-1.66,-1.775,1.0
-2.256,-1.808,1.0
-1.828,-1.925,1.0
-1.93,-1.638,1.0
-2.34,-2.358,1.0
-1.747,-1.837,1.0
-2.14,-2.225,1.0
-2.353,-1.579,1.0
-1.796,-2.114,1.0
-1.417,-1.918,1.0
-2.143,-1.807,1.0
-2.167,-2.213,1.0
-1.764,-2.079,1.0
-1.795,-2.0,1.0
-2.41,-1.863,1.0
-1.57,-2.274,1.0
-1.969,-2.289,1.0
-1.799,-1.93,1.0
-1.826,-2.315,1.0
-2.291,-1.687,1.0
-1.98,-2.42,1.0
-1.439,-1.595,1.0
-1.691,-1.881,1.0
-1.926,-2.393,1.0
-2.018,-2.166,1.0
-1.568,-2.264,1.0
-1.608,-1.949,1.0
-1.636,-2.314,1.0
-2.562,-2.128,1.0
-2.16,-1.901,1.0
-1.905,-2.411,1.0
-1.717,-1.884,1.0
-2.127,-1.991,1.0
-2.247,-1.68,1.0
-1.579,-1.985,1.0
-1.763,-2.017,1.0
-2.146,-2.158,1.0
-2.389,-2.234,1.0
-1.49,-1.545,1.0
-1.95,-2.107,1.0
-1.924,-1.99,1.0
-2.605,-2.602,1.0
-1.644,-2.036,1.0
-2.449,-1.846,1.0
-2.585,-2.593,1.0
-1.561,-2.045,1.0
-2.662,-2.068,1.0
-2.254,-2.383,1.0
-2.258,-1.963,1.0
-2.567,-2.105,1.0
-1.895,-2.302,1.0
-1.939,-2.008,1.0
-1.876,-1.786,1.0
-2.37,-1.752,1.0
-2.077,-2.426,1.0
-2.447,-2.266,1.0
-1.872,-2.319,1.0
-2.032,-2.563,1.0
-1.791,-2.29,1.0
-2.319,-2.265,1.0
-1.812,-1.859,1.0
-2.388,-1.867,1.0
-2.017,-2.213,1.0
-2.146,-1.97,1.0
-2.172,-2.131,1.0
-2.165,-1.995,1.0
-1.628,-2.007,1.0
-2.054,-2.038,1.0
-1.703,-2.167,1.0
-2.415,-2.379,1.0
-1.838,-1.632,1.0
-2.514,-2.1,1.0
-1.775,-1.659,1.0
-2.934,-2.101,1.0
-1.805,-2.564,1.0
-0.816,-2.289,1.0
-1.638,-1.916,1.0
-1.79,-1.274,1.0
-2.075,-1.925,1.0
-1.823,-1.828,1.0
-1.802,-1.658,1.0
-2.026,-2.096,1.0
-2.558,-1.51,1.0
-1.822,-2.391,1.0
-1.442,-1.534,1.0
-2.523,-1.73,1.0
-2.174,-2.293,1.0
-2.542,-1.756,1.0
-2.481,-1.668,1.0
-2.031,-1.492,1.0
-2.321,-1.985,1.0
-1.848,-1.576,1.0
-1.813,-1.995,1.0
-2.237,-2.307,1.0
-2.233,-1.973,1.0
-1.834,-1.62,1.0
-2.421,-2.285,1.0
-1.987,-2.066,1.0
-2.262,-1.509,1.0
-2.015,-2.107,1.0
-1.996,-1.398,1.0
-1.68,-2.074,1.0
-2.089,-1.605,1.0
-2.204,-2.529,1.0
-2.159,-1.897,1.0
-1.738,-2.136,1.0
-1.519,-2.305,1.0
-2.219,-1.904,1.0
-2.284,-2.368,1.0
-2.103,-2.421,1.0
-2.146,-1.988,1.0
-2.258,-2.14,1.0
-1.745,-2.013,1.0
-2.156,-1.661,1.0
-2.149,-1.806,1.0
-1.98,-2.349,1.0
-1.779,-2.243,1.0
-2.06,-1.41,1.0
-1.425,-1.57,1.0
-2.227,-2.224,1.0
-2.199,-2.086,1.0
-2.09,-1.829,1.0
-1.83,-1.923,1.0
-1.807,-1.715,1.0
-1.805,-2.123,1.0
-1.531,-1.898,1.0
-2.166,-1.928,1.0
-2.393,-2.064,1.0
-2.126,-1.597,1.0
-2.311,-1.889,1.0
-1.742,-1.702,1.0
-1.651,-1.865,1.0
-1.967,-2.029,1.0
-2.222,-2.577,1.0
-1.64,-1.659,1.0
-2.241,-1.576,1.0
-2.135,-2.007,1.0
-1.952,-1.82,1.0
-2.253,-1.976,1.0
-1.9,-2.165,1.0
-2.119,-2.423,1.0
-1.857,-2.087,1.0
-2.08,-2.128,1.0
-1.752,-2.362,1.0
-1.889,-2.863,1.0
-1.875,-1.643,1.0
-1.859,-1.945,1.0
-1.879,-2.019,1.0
-2.1,-2.487,1.0
-2.224,-2.062,1.0
-1.777,-1.987,1.0
-1.684,-2.633,1.0
-2.469,-2.225,1.0
-2.453,-2.05,1.0
-1.488,-1.933,1.0
-1.984,-1.901,1.0
-2.034,-1.791,1.0
-1.777,-1.837,1.0
-1.787,-1.489,1.0
-2.127,-1.889,1.0
-2.09,-1.6,1.0
-2.45,-2.212,1.0
-2.468,-1.837,1.0
-1.672,-2.118,1.0
-2.137,-2.123,1.0
-2.108,-2.152,1.0
-1.572,-1.506,1.0
-1.673,-2.038,1.0
-2.08,-1.843,1.0
-1.927,-2.088,1.0
-1.753,-2.5,1.0
-1.719,-2.124,1.0
-2.104,-2.396,1.0
-2.313,-2.154,1.0
-2.201,-2.704,1.0
-1.586,-1.964,1.0
-1.871,-1.827,1.0
-1.698,-1.783,1.0
-1.652,-2.49,1.0
-1.921,-1.827,1.0
-1.916,-2.16,1.0
-2.432,-2.098,1.0
-1.718,-1.988,1.0
-2.689,-1.9,1.0
-2.304,-2.02,1.0
-1.639,-2.103,1.0
-1.706,-2.04,1.0
-1.801,-2.24,1.0
-2.529,-2.598,1.0
-2.537,-1.624,1.0
-1.682,-2.146,1.0
-2.166,-2.113,1.0
-2.442,-2.303,1.0
-1.792,-2.579,1.0
-1.727,-1.913,1.0
-2.383,-2.401,1.0
-1.516,-2.542,1.0
-1.733,-2.087,1.0
-1.947,-1.654,1.0
-2.052,-1.714,1.0
-2.22,-2.225,1.0
-2.408,-2.488,1.0
-2.32,-1.529,1.0
-2.418,-2.386,1.0
-2.079,-1.402,1.0
-2.037,-1.736,1.0
-2.096,-1.887,1.0
-1.869,-2.101,1.0
-2.105,-0.846,1.0
-2.171,-1.957,1.0
-2.286,-2.009,1.0
-1.649,-2.319,1.0
-2.105,-2.562,1.0
-2.032,-1.835,1.0
-1.826,-1.572,1.0
-2.02,-2.224,1.0
-1.905,-2.287,1.0
-1.459,-1.304,1.0
-2.185,-2.117,1.0
-1.292,-1.415,1.0
-2.429,-1.996,1.0
-2.47,-2.179,1.0
-1.983,-1.771,1.0
-1.924,-1.639,1.0
-1.478,-1.793,1.0
-1.998,-1.368,1.0
-2.09,-2.014,1.0
-2.144,-2.515,1.0
-1.918,-2.236,1.0
-1.736,-2.403,1.0
-1.995,-1.583,1.0
-1.969,-2.3,1.0
-2.065,-1.912,1.0
-2.181,-2.521,1.0
-2.4,-2.137,1.0
-1.904,-2.6,1.0
-2.143,-2.208,1.0
-1.514,-2.083,1.0
-1.852,-1.705,1.0
-1.825,-2.796,1.0
-1.988,-1.74,1.0
-2.328,-2.302,1.0
-1.984,-1.301,1.0
-2.264,-2.632,1.0
-2.062,-2.196,1.0
-2.142,-2.962,1.0
-2.175,-2.114,1.0
-2.254,-2.553,1.0
-1.985,-1.551,1.0
-1.413,-1.986,1.0
-1.583,-1.902,1.0
-1.502,-1.495,1.0
-1.424,-1.912,1.0
-2.018,-1.641,1.0
-2.218,-1.872,1.0
-2.044,-1.862,1.0
-2.028,-2.194,1.0
-1.675,-2.272,1.0
-2.191,-2.077,1.0
-2.168,-1.925,1.0
-1.83,-2.292,1.0
-2.167,-2.219,1.0
-1.837,-2.383,1.0
-2.287,-1.518,1.0
-1.981,-1.746,1.0
-2.025,-2.003,1.0
-2.05,-1.892,1.0
-1.851,-1.995,1.0
-2.472,-1.625,1.0
-1.401,-1.995,1.0
-2.131,-1.389,1.0
-1.455,-2.149,1.0
-2.08,-2.376,1.0
-2.547,-2.322,1.0
-2.616,-1.658,1.0
-2.532,-2.186,1.0
-2.276,-1.923,1.0
-1.848,-2.45,1.0
-2.026,-2.214,1.0
-2.375,-2.099,1.0
-2.068,-1.949,1.0
-2.105,-1.346,1.0
-2.263,-2.118,1.0
-1.943,-2.04,1.0
-2.409,-2.033,1.0
-1.84,-1.41,1.0
-2.359,-1.962,1.0
-1.983,-2.131,1.0
-1.788,-2.071,1.0
-1.835,-1.523,1.0
-1.439,-1.825,1.0
-2.067,-2.111,1.0
-1.535,-1.666,1.0
-2.35,-2.42,1.0
-2.362,-1.768,1.0
-2.031,-2.141,1.0
-2.163,-1.477,1.0
-1.445,-1.617,1.0
-1.969,-1.881,1.0
-2.534,-2.083,1.0
-2.446,-2.236,1.0
-1.657,-2.411,1.0
-1.687,-1.845,1.0
-2.119,-2.449,1.0
-1.403,-1.629,1.0
-0.105,3.333,-1.0
-3.099,2.81,-1.0
-1.341,-3.031,-1.0
-3.084,0.7,-1.0
-1.138,-2.021,-1.0
3.87,1.437,-1.0
2.352,-2.859,-1.0
1.292,-0.87,-1.0
1.345,2.902,-1.0
-2.685,3.43,-1.0
1.002,-1.81,-1.0
-1.194,-0.998,-1.0
0.748,-0.143,-1.0
-3.561,-2.543,-1.0
2.33,2.903,-1.0
0.651,1.86,-1.0
-0.351,-3.113,-1.0
-0.898,3.985,-1.0
0.697,-2.059,-1.0
-2.094,2.948,-1.0
0.89,0.837,-1.0
-3.791,1.035,-1.0
-0.388,-3.724,-1.0
-3.899,2.212,-1.0
-1.526,3.596,-1.0
1.576,0.133,-1.0
-0.052,-0.208,-1.0
3.854,0.623,-1.0
-1.731,-3.466,-1.0
1.327,-2.075,-1.0
-3.225,-3.948,-1.0
-3.797,-3.948,-1.0
2.632,3.742,-1.0
-0.698,-2.616,-1.0
2.026,1.242,-1.0
1.01,0.119,-1.0
0.06,-1.932,-1.0
0.972,1.388,-1.0
-1.746,3.879,-1.0
3.367,0.049,-1.0
